Sample,X(ms) [18.02.2012 23:38:39 662 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
103,1329608350563.001520,20.1000003814697,40,6.65082025527954,7.23000001907349,40
104,1329608350863.303500,20.1000003814697,40,6.58253717422485,7.13000011444092,40
105,1329608351163.012960,20.1000003814697,40,6.51425790786743,7.05999994277954,40
106,1329608351462.991080,20.2000007629395,40,6.44597816467285,7,40
107,1329608351763.294900,20.2000007629395,40,6.5920262336731,6.94999980926514,40
108,1329608352063.029480,20.2000007629395,40,6.41549444198608,6.86999988555908,40
109,1329608352363.001520,20.2000007629395,40,6.30183219909668,6.78000020980835,40
110,1329608352663.006360,20.2999992370605,40,6.28607749938965,6.73000001907349,40
111,1329608352963.024680,20.2999992370605,40,6.31683301925659,6.71000003814697,40
112,1329608353263.006700,20.2999992370605,40,6.15819025039673,6.67999982833862,40
113,1329608353563.297120,20.2999992370605,40,6.05225610733032,6.65999984741211,40
114,1329608353863.304760,20.2999992370605,40,5.96851587295532,6.59999990463257,40
115,1329608354163.288980,20.2999992370605,40,5.89412498474121,6.5,40
116,1329608354463.021860,20.2999992370605,40,5.82366895675659,6.3600001335144,40
117,1329608354763.015780,20.2999992370605,40,5.75486993789673,6.26999998092651,40
118,1329608355063.004220,20.2000007629395,40,5.61532735824585,6.21999979019165,40
119,1329608355363.279300,20.2000007629395,40,5.44072437286377,6.15999984741211,40
120,1329608355663.013660,20.2000007629395,40,5.46033477783203,6.09000015258789,40
121,1329608355963.017220,20.1000003814697,40,5.42926073074341,5.96999979019165,40
122,1329608356263.291460,20.1000003814697,40,5.16252136230469,5.86999988555908,40
123,1329608356563.016300,20.1000003814697,40,5.20937395095825,5.80000019073486,40
124,1329608356863.011680,20.2000007629395,40,5.18957471847534,5.73000001907349,40
125,1329608357163.031600,20.2000007629395,40,5.35603809356689,5.67000007629395,40
126,1329608357463.014480,20.2000007629395,40,5.18809986114502,5.63000011444092,40
127,1329608357763.287540,20.2999992370605,40,5.14950037002563,5.6100001335144,40
128,1329608358063.030040,20.2999992370605,40,5.17063140869141,5.59999990463257,40
129,1329608358363.297320,20.2999992370605,40,5.00793075561523,5.59000015258789,40
130,1329608358663.273800,20.2999992370605,40,4.90029048919678,5.59000015258789,40
131,1329608358963.272300,20.2999992370605,40,4.81583881378174,5.53999996185303,40
132,1329608359263.297140,20.2999992370605,40,4.74113941192627,5.40000009536743,40
133,1329608359563.278520,20.2999992370605,40,4.6705584526062,5.30000019073486,40
134,1329608359863.286920,20.3999996185303,40,4.74459218978882,5.23999977111816,40
135,1329608360163.276040,20.3999996185303,40,4.67574119567871,5.19999980926514,40
136,1329608360463.284020,20.3999996185303,40,4.54158449172974,5.17999982833862,40
137,1329608360763.282240,20.3999996185303,40,4.44616222381592,5.15999984741211,40
138,1329608361063.032360,20.5,40,4.50993394851685,5.1100001335144,40
139,1329608361363.277540,20.6000003814697,40,4.43696069717407,4.98999977111816,40
140,1329608361663.274480,20.6000003814697,40,4.5155930519104,4.90000009536743,40
141,1329608361963.029920,20.7000007629395,40,4.45435380935669,4.84000015258789,40
142,1329608362263.019940,20.7999992370605,40,4.3291392326355,4.82000017166138,40
143,1329608362563.033100,20.7999992370605,40,4.38617038726807,4.80999994277954,40
144,1329608362863.030180,20.7999992370605,40,4.17334604263306,4.80000019073486,40
145,1329608363163.031080,20.7999992370605,40,4.04559230804443,4.80000019073486,40
146,1329608363463.024680,20.8999996185303,40,4.09654712677002,4.78000020980835,40
147,1329608363763.031540,20.8999996185303,40,4.01897144317627,4.71000003814697,40
148,1329608364063.274400,20.8999996185303,40,3.88213324546814,4.6100001335144,40
149,1329608364363.269500,20.8999996185303,40,3.78657293319702,4.53000020980835,40
