Sample,X(ms) [21.03.2012 03:10:24 063 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
119,1332299459762.940540,20.7999992370605,40,4.9694995880127,5.55000019073486,40
120,1332299460063.283340,20.8999996185303,40,4.97161245346069,5.53000020980835,40
121,1332299460363.221780,20.8999996185303,40,4.99491691589355,5.51000022888184,40
122,1332299460663.230300,20.8999996185303,40,4.79273128509521,5.48999977111816,40
123,1332299460963.219720,21,40,4.72509050369263,5.48000001907349,40
124,1332299461263.235200,21,40,4.7619104385376,5.40999984741211,40
125,1332299461563.210600,21,40,4.66314363479614,5.28999996185303,40
126,1332299461863.267460,21.1000003814697,40,4.71640825271606,5.17000007629395,40
127,1332299462163.223140,21.1000003814697,40,4.59302997589111,5.11999988555908,40
128,1332299462463.246440,21.1000003814697,40,4.43436050415039,5.07999992370605,40
129,1332299462763.218640,21.2000007629395,40,4.61030530929565,5.05000019073486,40
130,1332299463063.218920,21.2000007629395,40,4.37123203277588,5,40
131,1332299463363.212360,21.2999992370605,40,4.41341733932495,4.96999979019165,40
132,1332299463663.261220,21.2999992370605,40,4.30201101303101,4.96000003814697,40
133,1332299463962.943100,21.2999992370605,40,4.21328353881836,4.92000007629395,40
134,1332299464263.266680,21.2999992370605,40,4.08632516860962,4.8600001335144,40
135,1332299464563.231120,21.2999992370605,40,4.034912109375,4.78000020980835,40
136,1332299464863.286000,21.3999996185303,40,4.131591796875,4.69000005722046,40
137,1332299465163.240840,21.3999996185303,40,4.0176739692688,4.59999990463257,40
138,1332299465463.258280,21.5,40,3.98540115356445,4.53000020980835,40
139,1332299465763.213720,21.5,40,4.00232791900635,4.48000001907349,40
140,1332299466063.270160,21.5,40,3.79591012001038,4.44000005722046,40
141,1332299466363.265360,21.5,40,3.72818398475647,4.3899998664856,40
142,1332299466663.233900,21.5,40,3.62065362930298,4.34000015258789,40
143,1332299466963.265260,21.6000003814697,40,3.57355856895447,4.26000022888184,40
144,1332299467263.236180,21.6000003814697,40,3.63040542602539,4.17000007629395,40
145,1332299467563.314060,21.6000003814697,40,3.53661441802979,4.09000015258789,40
146,1332299467863.263880,21.7000007629395,40,3.64009594917297,4.05000019073486,40
147,1332299468163.238360,21.7000007629395,40,3.49982690811157,4.03000020980835,40
148,1332299468463.233740,21.7999992370605,40,3.5174548625946,4.03000020980835,40
149,1332299468762.929600,21.7999992370605,40,3.38758301734924,4.03000020980835,40
150,1332299469063.241840,21.8999996185303,40,3.41483235359192,4.01999998092651,40
151,1332299469362.950200,21.8999996185303,40,3.2870979309082,4.01000022888184,40
152,1332299469663.244180,22,40,3.31652331352234,3.97000002861023,40
153,1332299469963.276100,22,40,3.18937420845032,3.86999988555908,40
154,1332299470263.251840,22,40,3.02956771850586,3.77999997138977,40
155,1332299470563.210320,22.1000003814697,40,2.9722318649292,3.70000004768372,40
156,1332299470863.262100,22.1000003814697,40,3.02110600471497,3.64000010490417,40
157,1332299471163.226380,22.2000007629395,40,3.16056323051453,3.58999991416931,40
158,1332299471463.284060,22.2999992370605,40,3.08114051818848,3.53999996185303,40
159,1332299471763.225700,22.3999996185303,40,3.04880976676941,3.51999998092651,40
160,1332299472063.243500,22.5,40,2.99015879631042,3.5,40
161,1332299472362.950400,22.5,40,2.96235680580139,3.49000000953674,40
162,1332299472663.251920,22.5,40,2.71814727783203,3.49000000953674,40
163,1332299472963.257440,22.6000003814697,40,2.87811732292175,3.48000001907349,40
164,1332299473263.236920,22.6000003814697,40,2.6281681060791,3.44000005722046,40
165,1332299473563.238500,22.7000007629395,40,2.55282497406006,3.35999989509583,40
166,1332299473863.259840,22.7000007629395,40,2.58698868751526,3.25999999046326,40
