Sample,X(ms) [19.02.2012 01:47:57 362 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
72,1329616098962.989220,31.5,20,10.5212478637695,5.69000005722046,40
73,1329616099263.257280,31.2999992370605,20,10.4913311004639,5.32000017166138,40
74,1329616099562.997660,31.2000007629395,20,10.414439201355,5.19999980926514,40
75,1329616099862.988720,31.1000003814697,20,10.3837308883667,5.44000005722046,40
76,1329616100162.996500,31,20,10.3722171783447,5.78000020980835,40
77,1329616100462.989800,30.8999996185303,20,10.4399576187134,5.96000003814697,40
78,1329616100763.252200,30.7999992370605,20,10.5460758209229,5.78999996185303,40
79,1329616101062.985680,30.7000007629395,20,10.5305519104004,5.46999979019165,40
80,1329616101363.000760,30.7000007629395,20,10.5298557281494,5.23999977111816,40
81,1329616101662.994400,30.6000003814697,20,10.7495069503784,5.34999990463257,40
82,1329616101962.990040,30.6000003814697,20,10.6489210128784,5.75,40
83,1329616102263.261360,30.5,20,10.7548789978027,6.17000007629395,40
84,1329616102563.248300,30.3999996185303,20,10.6723957061768,6.21000003814697,40
85,1329616102863.255160,30.2000007629395,20,10.6428270339966,5.8600001335144,40
86,1329616103163.255740,30.1000003814697,20,10.5638914108276,5.42000007629395,40
87,1329616103463.244780,30,20,10.5301504135132,5.17000007629395,40
88,1329616103763.245660,29.8999996185303,20,10.5866050720215,5.30000019073486,40
89,1329616104063.258920,29.7999992370605,20,10.6146154403687,5.71000003814697,40
90,1329616104362.993440,29.7999992370605,20,10.7018947601318,6.1100001335144,40
91,1329616104663.001100,29.7999992370605,20,10.8191957473755,6.15999984741211,40
92,1329616104963.217120,29.7000007629395,20,10.9542932510376,5.8600001335144,40
93,1329616105263.204700,29.7000007629395,20,10.887767791748,5.53000020980835,40
94,1329616105563.205680,29.7000007629395,20,10.9401178359985,5.42000007629395,40
95,1329616105863.210000,29.7000007629395,20,11.0476522445679,5.69000005722046,40
96,1329616106163.226480,29.5,20,11.040753364563,6.13000011444092,40
97,1329616106463.218060,29.3999996185303,20,10.8375196456909,6.46000003814697,40
98,1329616106763.226200,29.2999992370605,20,10.8214855194092,6.26999998092651,40
99,1329616107062.989580,29.1000003814697,20,10.6749591827393,5.69999980926514,40
100,1329616107363.226840,29,20,10.6056118011475,5.25,40
101,1329616107663.284500,28.8999996185303,20,10.6398897171021,5.09999990463257,40
102,1329616107962.991920,28.7999992370605,20,10.7227392196655,5.44000005722046,40
103,1329616108262.988200,28.7000007629395,20,10.7596168518066,5.98999977111816,40
104,1329616108562.999120,28.6000003814697,20,10.7769250869751,6.40000009536743,40
105,1329616108863.209320,28.5,20,10.8572483062744,6.26000022888184,40
106,1329616109163.225280,28.5,20,10.8977327346802,5.76000022888184,40
107,1329616109463.211840,28.3999996185303,20,10.9927606582642,5.30999994277954,40
108,1329616109763.231800,28.3999996185303,20,10.9730062484741,5.30000019073486,40
109,1329616110063.222700,28.2999992370605,20,10.9710187911987,5.80000019073486,40
110,1329616110363.218420,28.2000007629395,20,10.9763813018799,6.3600001335144,40
111,1329616110663.212140,28.2000007629395,20,10.984712600708,6.57000017166138,40
112,1329616110963.225220,28.1000003814697,20,11.0656061172485,6.25,40
113,1329616111263.222860,28,20,10.967848777771,5.59999990463257,40
114,1329616111563.231560,27.8999996185303,20,10.8557100296021,5.25,40
115,1329616111863.261280,27.7999992370605,20,10.946361541748,5.51000022888184,40
116,1329616112163.279660,27.7999992370605,20,10.9898109436035,6.05000019073486,40
117,1329616112462.992280,27.7000007629395,20,11.0846862792969,6.44000005722046,40
118,1329616112763.249300,27.6000003814697,20,10.9920501708984,6.34999990463257,40
119,1329616113063.251360,27.3999996185303,20,10.8812484741211,5.94999980926514,40
120,1329616113363.268400,27.2999992370605,20,10.8288021087646,5.53000020980835,40
121,1329616113663.322960,27.2000007629395,20,10.8006286621094,5.34999990463257,40
122,1329616113963.254900,27.1000003814697,20,10.8538942337036,5.57999992370605,40
123,1329616114263.225440,27.1000003814697,20,10.9464225769043,5.98999977111816,40
124,1329616114563.194340,27,20,10.9891405105591,6.28000020980835,40
125,1329616114863.265560,26.8999996185303,20,11.0107536315918,6.23999977111816,40
126,1329616115163.233320,26.8999996185303,20,10.9518947601318,5.92999982833862,40
127,1329616115463.232720,26.7999992370605,20,11.0680780410767,5.59000015258789,40
128,1329616115763.226920,26.7999992370605,20,11.0539798736572,5.46000003814697,40
129,1329616116063.218800,26.7999992370605,20,11.1940240859985,5.78000020980835,40
130,1329616116363.235480,26.7999992370605,20,11.2665014266968,6.23999977111816,40
131,1329616116662.991880,26.7999992370605,20,11.3105316162109,6.57000017166138,40
132,1329616116962.998560,26.7999992370605,20,11.3425750732422,6.44000005722046,40
133,1329616117263.278300,26.7000007629395,20,11.2981424331665,6.03000020980835,40
134,1329616117563.254100,26.7000007629395,20,11.2162160873413,5.65999984741211,40
135,1329616117863.271560,26.6000003814697,20,11.2560396194458,5.6399998664856,40
136,1329616118163.299960,26.6000003814697,20,11.2094097137451,5.98999977111816,40
137,1329616118462.994320,26.6000003814697,20,11.3353471755981,6.42999982833862,40
138,1329616118763.256440,26.6000003814697,20,11.4014892578125,6.57999992370605,40
139,1329616119062.991780,26.5,20,11.4424495697021,6.3600001335144,40
