Sample,X(ms) [28.03.2012 20:58:20 264 UTC],"Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_Tout","Signals_DB.AutoOrManual"
106,1332968310864.258340,8.0156078338623,7.38000011444092,39.2999992370605,0
107,1332968310964.217260,8.0156078338623,7.3899998664856,39.2999992370605,0
108,1332968311064.315880,8.07623100280762,7.3899998664856,39.2999992370605,0
109,1332968311164.282980,8.07623100280762,7.3899998664856,39.2999992370605,0
110,1332968311264.242720,8.07623100280762,7.3899998664856,39.2999992370605,0
111,1332968311364.268560,8.14009666442871,7.3899998664856,39.2999992370605,0
112,1332968311464.219360,8.14009666442871,7.40000009536743,39.2999992370605,0
113,1332968311564.244140,8.14009666442871,7.40999984741211,39.2999992370605,0
114,1332968311664.346700,8.2053279876709,7.42000007629395,39.2999992370605,0
115,1332968311764.254320,8.2053279876709,7.44000005722046,39.2999992370605,0
116,1332968311864.205380,8.2053279876709,7.48000001907349,39.2999992370605,0
117,1332968311964.225360,8.19968509674072,7.53000020980835,39.2000007629395,0
118,1332968312064.266000,8.19968509674072,7.57000017166138,39.2000007629395,0
119,1332968312164.216560,8.19968509674072,7.59999990463257,39.2000007629395,0
120,1332968312264.265420,8.15893650054932,7.63000011444092,39.2000007629395,0
121,1332968312364.236440,8.15893650054932,7.6399998664856,39.2000007629395,0
122,1332968312464.225700,8.15893650054932,7.65000009536743,39.2000007629395,0
123,1332968312564.282960,8.24092960357666,7.65999984741211,39.0999984741211,0
124,1332968312664.223240,8.24092960357666,7.67999982833862,39.0999984741211,0
125,1332968312764.227380,8.24092960357666,7.71000003814697,39.0999984741211,0
126,1332968312864.288880,8.23686790466309,7.73999977111816,39.0999984741211,0
127,1332968312964.272380,8.23686790466309,7.75,39,0
128,1332968313064.245360,8.23686790466309,7.76000022888184,39,0
129,1332968313164.228900,8.19124889373779,7.76000022888184,39,0
130,1332968313264.261740,8.19124889373779,7.76000022888184,39,0
131,1332968313364.205960,8.19124889373779,7.76999998092651,39,0
132,1332968313464.264080,8.3370304107666,7.78000020980835,38.9000015258789,0
133,1332968313563.958460,8.3370304107666,7.78000020980835,38.9000015258789,0
134,1332968313664.267760,8.3370304107666,7.76999998092651,38.9000015258789,0
135,1332968313764.279720,8.28800582885742,7.76999998092651,38.7999992370605,0
136,1332968313864.239880,8.28800582885742,7.78000020980835,38.7999992370605,0
137,1332968313964.243580,8.28800582885742,7.80000019073486,38.7999992370605,0
138,1332968314064.271480,8.28919982910156,7.82999992370605,38.7000007629395,0
139,1332968314164.240080,8.28919982910156,7.84999990463257,38.7000007629395,0
140,1332968314264.260840,8.28919982910156,7.8600001335144,38.7000007629395,0
141,1332968314364.324640,8.311354637146,7.86999988555908,38.5999984741211,0
142,1332968314464.244480,8.311354637146,7.88000011444092,38.5999984741211,0
143,1332968314563.963820,8.311354637146,7.90000009536743,38.5,0
144,1332968314664.274560,8.27068901062012,7.92000007629395,38.5,0
145,1332968314764.324020,8.27068901062012,7.94000005722046,38.5,0
146,1332968314864.230940,8.27068901062012,7.94999980926514,38.5,0
147,1332968314964.291540,8.41243076324463,7.96000003814697,38.4000015258789,0
